Chromosome	LeftBP	RightBP	Smoothed_cMMb
chr1H	376489578	377359808	1.45651561065841
chr1H	377359808	377780604	0.797777484737706
chr1H	377780604	379487160	0
chr1H	379487160	379650858	0
chr1H	379650858	380275827	0
chr1H	380275827	380767269	0
chr1H	380767269	380928690	0
chr1H	380928690	381147521	0
chr1H	381147521	381207730	0
chr1H	381207730	381326003	0
chr1H	381326003	385757324	0.855247712358353
chr1H	385757324	389343900	0.375220647009592
chr1H	389343900	390692993	0.290526040865137
chr1H	390692993	392575438	0.241815542597516
chr1H	392575438	394416611	0.0978809774875533
chr1H	394416611	397171463	0.0144766008795839
chr1H	397171463	401043822	0.348250137878816
chr1H	401043822	401872471	0.35731876379116
chr1H	401872471	403309609	0.0323943887874363
chr1H	403309609	406125405	0
chr1H	406125405	406535168	1.75876226206541e-15
chr1H	406535168	407009083	2.24059487409249e-15
chr1H	407009083	409518614	0.76109838850403
chr1H	409518614	418582669	0
chr1H	418582669	419012101	0
chr1H	419012101	419012333	0
chr1H	419012333	419381787	0
chr1H	419381787	422892298	0.777664562224209
chr1H	422892298	427973108	0.294105456487371
chr1H	427973108	428364193	0.0889922739200486
chr1H	428364193	429810625	0.0628562919351524
chr1H	429810625	434823728	0.0980691876444783
chr1H	434823728	435096952	0.00968332163598897
chr1H	435096952	435402884	0
chr1H	435402884	437281728	0
chr1H	437281728	437346136	0
chr1H	437346136	442735491	0.12821508564844
chr1H	442735491	445563341	0.221394172190666
chr1H	445563341	447580367	0.265863087042866
chr1H	447580367	449869267	0.255441042687315
chr1H	449869267	449874188	0.446432347109814
chr1H	449874188	451731169	0.601460612910354
chr1H	451731169	451995884	0.6882714710773
chr1H	451995884	453000239	0.740196466823121
chr1H	453000239	455813887	0.283838108385724
chr1H	455813887	456593344	0.137793548815701
chr1H	456593344	456852946	0.0955601840734321
chr1H	456852946	458109762	0.0811313039734501
chr1H	458109762	458916428	0.0614970511708119
chr1H	458916428	459030191	0.0527390704019564
chr1H	459030191	461593387	0
chr1H	461593387	463802424	0.384784383785093
chr1H	463802424	466761834	1.31126943501818
chr1H	466761834	467931109	1.66103026310936
chr1H	467931109	469551219	1.33383972272901
chr1H	469551219	469802176	1.11436646148402
chr1H	469802176	471473363	0.845036569013671
chr1H	471473363	473582513	0.315337567423941
chr1H	473582513	473690049	0.224659068552198
chr1H	473690049	476365129	0.110829937219888
chr1H	476365129	478389125	0.0616778101338894
chr1H	478389125	479986322	0
chr1H	479986322	482241183	0.545745075494792
chr1H	482241183	484964797	0.836438845229812
chr1H	484964797	488893281	1.07653458697666
chr1H	488893281	490454901	0.958338987688104
chr1H	490454901	491927378	0.71220284867422
chr1H	491927378	492628827	0.535846670166447
chr1H	492628827	495210361	0.165032951736955
chr1H	495210361	496080353	0.103284777947432
chr1H	496080353	496437817	0.0813254572275548
chr1H	496437817	496933333	0.0660655526870739
chr1H	496933333	497940358	0
chr1H	497940358	498205662	0
chr1H	498205662	498571383	0
chr1H	498571383	498975662	0
chr1H	498975662	499157309	0
chr1H	499157309	503413311	0.303680802505225
chr1H	503413311	504087501	0
chr1H	504087501	504804176	0.00710366033727382
chr1H	504804176	507978931	0.302218634118186
chr1H	507978931	508566982	1.78743050665504
chr1H	508566982	508567720	2.01983058606894
chr1H	508567720	508780593	2.10414468392689
chr1H	508780593	509511424	2.47663276462
chr1H	509511424	509763190	2.278991587409
chr1H	509763190	509765620	2.2278621857496
chr1H	509765620	510050548	2.17006252484996
chr1H	510050548	511924294	1.73586328490238
chr1H	511924294	512294799	1.28445094637808
chr1H	512294799	513140983	1.05000418860293
chr1H	513140983	515954110	0.344882666471183
chr1H	515954110	516153706	0
chr1H	516153706	516309831	0
chr1H	516309831	516507942	0
chr1H	516507942	517251616	0
chr1H	517251616	517540377	0
chr1H	517540377	519268754	0
chr1H	519268754	520001459	0
chr1H	520001459	520009000	0
chr1H	520009000	520009630	0
chr1H	520009630	520099770	0
chr1H	520099770	520487419	0
chr1H	520487419	520489712	0
chr1H	520489712	522448103	0
chr1H	522448103	522487000	0
chr1H	522487000	522838398	0
chr1H	522838398	522845097	0
chr1H	522845097	523884637	0
chr1H	523884637	523963863	0
chr1H	523963863	525407362	0
chr1H	525407362	525478648	0
chr1H	525478648	526705451	0.3215392293806
chr1H	526705451	527800161	0.896582620871511
chr1H	527800161	528008876	1.21944358807438
chr1H	528008876	528122265	1.29922939008057
chr1H	528122265	529533855	1.24023803552496
chr1H	529533855	529829699	1.17418870338707
chr1H	529829699	530180226	1.14918488311448
chr1H	530180226	530746330	1.11372649036437
chr1H	530746330	532951913	0.949002222401225
chr1H	532951913	533223592	0.801775941258035
chr1H	533223592	533708596	0.78531914484216
chr1H	533708596	534125766	0.765698122763304
chr1H	534125766	536146950	0.712667335276559
chr1H	536146950	536786084	0.799343578603419
chr1H	536786084	536887344	0.823466473122701
chr1H	536887344	536947613	0.828729275129207
chr1H	536947613	537362806	0.844220378074297
chr1H	537362806	538423095	0.892293291484048
chr1H	538423095	538694391	0.728657209027393
chr1H	538694391	538890455	0.671224180345828
chr1H	538890455	539492243	0.573177585002529
chr1H	539492243	539810980	0.46005592562411
chr1H	539810980	540278363	0.363451054631401
chr1H	540278363	540445032	0.285533546283224
chr1H	540445032	540586569	0.247658666024258
chr1H	540586569	540810107	0.202795256776735
chr1H	540810107	540810200	0.175313645947637
chr1H	540810200	541351026	0.374689903470292
chr1H	541351026	541996257	0.811856292279981
chr1H	541996257	542658567	1.29380022683845
chr1H	542658567	542673808	1.54353740127812
chr1H	542673808	543500490	1.85386012401895
chr1H	543500490	543765502	2.25624544248611
chr1H	543765502	544586370	2.0304287682657
chr1H	544586370	545323191	1.7064959677263
chr1H	545323191	547250913	1.15238479653126
chr1H	547250913	548713015	1.39609227010059
chr1H	548713015	548967983	1.51953903065267
chr1H	548967983	551383264	0.811336319483539
chr1H	551383264	551573705	0.120247441647408
chr1H	551573705	551836652	0
chr1H	551836652	552452412	0.198700654197443
chr1H	552452412	552906938	0.440722771215248
chr1H	552906938	553490699	0.675509003878355
chr1H	553490699	553959547	0.913533848239577
chr1H	553959547	554277483	1.09144809668881
chr1H	554277483	554604184	1.23721886398653
chr1H	554604184	554760325	1.34640317829608
chr1H	554760325	555426554	1.24475427746584
chr1H	555426554	555460565	1.15820123404576
chr1H	555460565	555618219	1.13451051505354
chr1H	555618219	556179932	1.04559328212487
chr1H	556179932	556387099	0.950556003442085
chr1H	556387099	557125647	0.833661065337977
chr1H	557125647	557764749	0.663376876677413
chr1H	557764749	558025045	0.32249047344023
chr1H	558025045	558224306	0.148310930220799
chr1H	558224306	558226181	0.0720771298326345
chr1H	558226181	558414475	0
chr2H	2096964	3326265	3.29923295316898
chr2H	3326265	5692055	2.60498333433268
chr2H	5692055	6193157	2.02834768605695
chr2H	6193157	6420971	1.88173632078803
chr2H	6420971	7272865	1.66456799964845
chr2H	7272865	9658541	0.992814477107588
chr2H	9658541	9838206	0.460539699027575
chr2H	9838206	11123004	0.468653601618815
chr2H	11123004	11188932	0.47613734084026
chr2H	11188932	11634499	0.478971294723634
chr2H	11634499	12243677	0.484815142051014
chr2H	12243677	12863330	0.491623518251093
chr2H	12863330	12949406	0.426151475471991
chr2H	12949406	13236398	0.391541130629262
chr2H	13236398	13265983	0.362171581004859
chr2H	13265983	14414700	0.252857894092883
chr2H	14414700	16221898	0
chr2H	16221898	16751427	0.446682302890958
chr2H	16751427	17272422	0.657104406200395
chr2H	17272422	18521931	1.01173997435283
chr2H	18521931	18893859	1.19800728879265
chr2H	18893859	19656489	1.32834295507892
chr2H	19656489	19829130	1.4357849447729
chr2H	19829130	20661305	1.55121611960495
chr2H	20661305	21582729	1.43676781851619
chr2H	21582729	22398480	1.32339142662506
chr2H	22398480	26199616	1.29134851010605
chr2H	26199616	29124597	0.863704294558476
chr2H	29124597	29127021	0.569746560845956
chr2H	29127021	31559962	0.325197420510816
chr2H	31559962	31787971	0.262362300918992
chr2H	31787971	32348631	0.243738835264484
chr2H	32348631	34201795	0.186739297613038
chr2H	34201795	34355312	0.587548498801098
chr2H	34355312	34864969	0.720009134641418
chr2H	34864969	35769464	1.00246814704972
chr2H	35769464	36438267	1.31671456419862
chr2H	36438267	37961922	2.59840150922745
chr2H	37961922	37962761	3.48960401234257
chr2H	37962761	38368644	3.72736924098367
chr2H	38368644	38600279	4.1000552846027
chr2H	38600279	38602524	4.23677897221877
chr2H	38602524	38834969	4.37397617696742
chr2H	38834969	40287471	4.60446173752498
chr2H	40287471	40335977	4.80978610101024
chr2H	40335977	42237041	5.07646970251
chr2H	42237041	42238199	5.07646970251
chr2H	42238199	47286517	0
chr2H	47286517	47632066	0
chr2H	47632066	48475931	0
chr2H	48475931	49988534	0
chr2H	49988534	50345198	0
chr2H	50345198	50467754	0
chr2H	50467754	50870267	0
chr2H	50870267	51222231	0
chr2H	51222231	51957324	0
chr2H	51957324	52014030	0.0706683016901798
chr2H	52014030	52786464	0.172976330553439
chr2H	52786464	53709229	0.382147843471605
chr2H	53709229	54584401	0.389716456812375
chr2H	54584401	54762212	0.394149104442076
chr2H	54762212	57310574	0.405625229210099
chr2H	57310574	58184860	0.516610965680059
chr2H	58184860	59217155	0.57843540582834
chr2H	59217155	62239304	0.598001805802839
chr2H	62239304	63474185	0.492669535631216
chr2H	63474185	64369800	0.449516593736206
chr2H	64369800	65977217	0.398817979677625
chr2H	65977217	66442025	0.349582198765075
chr2H	66442025	67505686	0.313265985605005
chr2H	67505686	68631648	0.261240844363547
chr2H	68631648	70642844	0.128274050842521
chr2H	70642844	71400580	0.0109143228601374
chr2H	71400580	73779183	0.0168141940432774
chr2H	73779183	74603709	0
chr2H	74603709	80076216	0
chr2H	80076216	82437223	0.210527097553116
chr2H	82437223	83431617	0.265743635696993
chr2H	83431617	83591290	0.284734982640649
chr2H	83591290	85104112	0.257641609599231
chr2H	85104112	86580884	0.209212056455942
chr2H	86580884	88324651	0.184466451218485
chr2H	88324651	89858409	0
chr2H	89858409	90242991	0
chr2H	90242991	91940117	0
chr2H	91940117	92524664	0
chr2H	92524664	93146188	0
chr2H	93146188	94760678	0.015420053538992
chr2H	94760678	94908103	0.108664200838948
chr2H	94908103	96162717	0.18286297378559
chr2H	96162717	97401187	0.147620940121394
chr2H	97401187	100641976	0.107100135958856
chr2H	100641976	108258950	0.0348148188270206
chr2H	108258950	108479511	0.244977196989927
chr2H	108479511	110194176	0.28424955630711
chr2H	110194176	110245657	0.320090703707261
chr2H	110245657	110249188	0.321207085479083
chr2H	110249188	112202461	0.360917336272169
chr2H	112202461	115322382	0.365687073829296
chr2H	115322382	115450024	0.429566575941124
chr2H	115450024	115867378	0.44028663684
chr2H	115867378	118999843	0
chr2H	118999843	119871894	0.367563982046621
chr2H	119871894	119984321	0.457926626100808
chr2H	119984321	121110693	0.5901665662471
chr2H	121110693	121687707	0.772000473673594
chr2H	121687707	122033030	0.870458568711378
chr2H	122033030	122767846	0.985761791195152
chr2H	122767846	124111327	0.751829379894993
chr2H	124111327	125233578	0.474287415305734
chr2H	125233578	126207571	0.31499307829242
chr2H	126207571	128270958	0.0841814774685194
chr2H	128270958	130322297	0.219983433950458
chr2H	130322297	132767421	0.51846163267413
chr2H	132767421	136904248	0.36574449719287
chr2H	136904248	147021592	0.184073750024845
chr2H	147021592	149783485	0.0604301768189426
chr2H	149783485	159048522	0.116318825020085
chr2H	159048522	160352492	0.148776896146571
chr2H	160352492	165634886	0.137980086383402
chr2H	165634886	181208645	0.0731583090626325
chr2H	181208645	181669695	0
chr2H	181669695	183381488	0
chr2H	183381488	183518398	0
chr2H	183518398	185517764	0.0111732060958727
chr2H	185517764	192278372	0.113402171227869
chr2H	192278372	197586042	0.320568783270652
chr2H	197586042	197904597	0.424602209448173
chr2H	197904597	201118710	0.336794742636495
chr2H	201118710	202974601	0.247947578064065
chr2H	202974601	203051356	0.182779209862466
chr2H	203051356	205975238	0.0815984365313213
chr2H	205975238	207968962	0.00149138200059213
chr2H	207968962	210132496	0.0255464628243948
chr2H	210132496	219489782	0.0266846749902378
chr2H	219489782	219489966	0.00896834060213253
chr2H	219489966	226796641	0.0203126558355526
chr2H	226796641	232982469	0.0747355889026391
chr2H	232982469	235963453	0.130742019458763
chr2H	235963453	238207611	0.178541323916885
chr2H	238207611	240221324	0.181302290200264
chr2H	240221324	246071968	0.0743419177292054
chr2H	246071968	246219296	0.0504461780961508
chr2H	246219296	248552877	0.052225377962351
chr2H	248552877	252106869	0.0969406541727227
chr2H	252106869	253188606	0.114009485260199
chr2H	253188606	254972206	0.0998594582070491
chr2H	254972206	267303750	0.0919905949859101
chr2H	267303750	274546401	0.0426198815534784
chr2H	274546401	294598697	0.00879921481314273
chr2H	294598697	294631197	0
chr2H	294631197	318877866	0
chr2H	318877866	320307107	0
chr2H	320307107	351833165	0
chr2H	351833165	373667488	0
chr2H	373667488	373690392	0
chr2H	373690392	383104840	0
chr2H	383104840	389302625	0
chr2H	389302625	393522056	0.00657329132979448
chr2H	393522056	399433156	0.01341343776018
chr2H	399433156	405862801	0.0298051107184083
chr2H	405862801	427413180	0.0159945192709844
chr2H	427413180	428231841	0
chr2H	428231841	429179852	0
chr2H	429179852	445720209	0.0189342502355612
chr2H	445720209	463231128	0.038504547882065
chr2H	463231128	465721495	0.00231498048424037
chr2H	465721495	472634333	0
chr2H	472634333	474752381	0
chr2H	474752381	477169935	0.0386179987251626
chr2H	477169935	479255106	0.0866682303668661
chr2H	479255106	491105224	0.209295535849893
chr2H	491105224	494259087	0.203914976313535
chr2H	494259087	503886204	0.15717807836977
chr2H	503886204	508786535	0.0831754838141252
chr2H	508786535	513918292	0.178034094546923
chr2H	513918292	515707184	0.420206211140578
chr2H	515707184	516165761	0.329959427812036
chr2H	516165761	520264492	0.0968566760089381
chr2H	520264492	520773219	0.00651270293018087
chr2H	520773219	520778575	0
chr2H	520778575	525482637	0.0440491044988304
chr2H	525482637	528069469	0.424913175863397
chr2H	528069469	532288289	0.46025428680785
chr2H	532288289	534370798	0.549288235630721
chr2H	534370798	535588749	0.435327874039602
chr2H	535588749	538202423	0.358854407337754
chr2H	538202423	539003244	0.40733942733202
chr2H	539003244	540085329	0.434076246409899
chr2H	540085329	542670441	0.38559460924724
chr2H	542670441	542984558	0.380756525597036
chr2H	542984558	544617656	0.377507113751703
chr2H	544617656	545218326	0.286194035091874
chr2H	545218326	545240742	0.260723215861838
chr2H	545240742	547569316	0.16461827801759
chr2H	547569316	549098097	0.0340265538180027
chr2H	549098097	550843423	0
chr2H	550843423	556024145	0.0438233889333884
chr2H	556024145	559011564	0
chr2H	559011564	559106614	0
chr2H	559106614	559662886	0
chr2H	559662886	560844183	0
chr2H	560844183	567016838	0.154552080913059
chr2H	567016838	567404068	0.316372689749845
chr2H	567404068	570919247	0.347372051705108
chr2H	570919247	573591858	0.288849200111967
chr2H	573591858	579380380	0.182310296553453
chr2H	579380380	581251463	0.113343636561922
chr2H	581251463	587894696	0.254300440535206
chr2H	587894696	589927308	0.325863200709553
chr2H	589927308	590822206	0.319102669453271
chr2H	590822206	592937557	0.312151068108206
chr2H	592937557	606128866	0.235858731907624
chr2H	606128866	608625415	0.131949728216053
chr2H	608625415	610741736	0.191266688512627
chr2H	610741736	614418306	0.23680840713709
chr2H	614418306	615045226	0.186733061614228
chr2H	615045226	616918739	0.103305754089381
chr2H	616918739	616918952	0.040788615969982
chr2H	616918952	617147026	0.0331717873035371
chr2H	617147026	618672370	0.0914108064047503
chr2H	618672370	619885222	0.182358800064486
chr2H	619885222	620230638	0.177449193368441
chr2H	620230638	620408210	0.17580142457209
chr2H	620408210	620951832	0.173529171730123
chr2H	620951832	621115373	0.171301126105111
chr2H	621115373	622777604	0.165548699413007
chr2H	622777604	622887903	0.136492466954514
chr2H	622887903	624194869	0.113259922909963
chr2H	624194869	624272301	0.0905661518013931
chr2H	624272301	625765678	0.122836700853875
chr2H	625765678	626116160	0.16071676285082
chr2H	626116160	626124459	0.168087525215689
chr2H	626124459	626233860	0.170505542698067
chr2H	626233860	627474976	0.19825043408506
chr2H	627474976	627657786	0.268622992007843
chr2H	627657786	631621570	0.473553884798102
chr2H	631621570	631832715	0.769343857373871
chr2H	631832715	631976772	0.794509600273656
chr2H	631976772	632678794	0.854453538052462
chr2H	632678794	633663480	0.942799371372887
chr2H	633663480	635294521	1.07980505436824
chr2H	635294521	636292444	0.562248048255001
chr2H	636292444	636292482	0.36578217524275
chr2H	636292482	636433859	0.337942188076892
chr2H	636433859	636549210	0.287400843628873
chr2H	636549210	638242056	0
chr2H	638242056	639062553	0
chr2H	639062553	639288725	0
chr2H	639288725	641035090	0
chr2H	641035090	641328117	0
chr2H	641328117	645202515	0
chr2H	645202515	645577817	0.236956958210978
chr2H	645577817	645594929	0.259659882210313
chr2H	645594929	647135854	0.260808807075163
chr2H	647135854	647456940	0.262181887904774
chr2H	647456940	647661695	0.262569652636843
chr2H	647661695	649231810	0.263878474105702
chr2H	649231810	649449402	0.259525320761001
chr2H	649449402	651058639	0.255076903446784
chr2H	651058639	651372755	0.250393445505974
chr2H	651372755	652031130	0.198322851351507
chr2H	652031130	652031329	0.163060479283608
chr2H	652031329	652031655	0.163032368934071
chr2H	652031655	652031870	0.163003401888168
chr2H	652031870	652094527	0.159637013514723
chr2H	652094527	654157716	0.0458117294751821
chr2H	654157716	654960941	0.218947273636851
chr2H	654960941	655112376	0.276610115985995
chr2H	655112376	656414480	0.364405970222406
chr2H	656414480	658889901	0.248491104653494
chr2H	658889901	659264767	0.16584554140324
chr2H	659264767	663236849	0.256939063220223
chr2H	663236849	663583331	0.554110024091504
chr2H	663583331	664081447	0.612228880083904
chr2H	664081447	664803009	0.61259332863171
chr2H	664803009	665642550	0.613059797422099
chr2H	665642550	672009637	0.62930163276318
chr2H	672009637	673846579	0.485435313545509
chr2H	673846579	674314329	0.374694038251418
chr2H	674314329	676764753	0.234474733333426
chr2H	676764753	677132806	0.176529788740143
chr2H	677132806	677197362	0.167635799349577
chr2H	677197362	677845247	0.152988756187265
chr2H	677845247	678098934	0.134453377120182
chr2H	678098934	678192554	0.127313107793216
chr2H	678192554	681044282	0.555561469444928
chr2H	681044282	682222549	0.751981741209808
chr2H	682222549	682243810	0.810446234527934
chr2H	682243810	684263618	0.602620204145126
chr2H	684263618	685385501	0.282726477269947
chr2H	685385501	685490222	0.222508244912552
chr2H	685490222	687072769	0.139674423668534
chr2H	687072769	687150452	0.0581679913507544
chr2H	687150452	687238985	0.0500078730815194
chr2H	687238985	687350595	0.0401821610516335
chr2H	687350595	687579325	0.0234736934447156
chr2H	687579325	687682346	0.00718688955136604
chr2H	687682346	687725717	0
chr2H	687725717	688592287	0.0682231363395991
chr2H	688592287	689377321	0.192052708664648
chr2H	689377321	691870667	0.437850365560001
chr2H	691870667	692056623	0.534331866271898
chr2H	692056623	692437768	0.554753138504448
chr2H	692437768	692526909	0.571688108524175
chr2H	692526909	693684636	0.616587748740038
chr2H	693684636	697193072	1.0890454561412
chr2H	697193072	697331699	0.601249004468382
chr2H	697331699	697522640	0.557169124031738
chr2H	697522640	698444137	0.408379999986993
chr2H	698444137	698901005	0.382816899235171
chr2H	698901005	701826902	0.320080278300412
chr2H	701826902	701937365	0.285224192819259
chr2H	701937365	701963193	0.283659631717706
chr2H	701963193	702028528	0.282613120328833
chr2H	702028528	702094708	0.281103385619493
chr2H	702094708	702100845	0.280273218072252
chr2H	702100845	702156095	0.279568522147055
chr2H	702156095	702542345	0.27450029514501
chr2H	702542345	704060796	0.252635160288788
chr2H	704060796	704365928	0.203469489776381
chr2H	704365928	704374615	0.195008607242088
chr2H	704374615	704890469	0.180866443174837
chr2H	704890469	705262945	0.156916154053757
chr2H	705262945	705531980	0.139620358657504
chr2H	705531980	707268001	0.452884973364863
chr2H	707268001	707452624	0.752961281782184
chr2H	707452624	707538666	0.795249261239998
chr2H	707538666	708297390	0.9272332534616
chr2H	708297390	708561161	0.873544782964731
chr2H	708561161	708638034	0.855658480005855
chr2H	708638034	709519518	0.805337723894609
chr2H	709519518	710843220	0.689549320527248
chr2H	710843220	710953472	0.614256241321121
chr2H	710953472	710954522	0.602904714356371
chr2H	710954522	711230487	0.574652362717225
chr2H	711230487	711884245	0.47983128399224
chr2H	711884245	712176611	0.38333749144586
chr2H	712176611	712330524	0.337822153875091
chr2H	712330524	712677252	0.28676251603247
chr2H	712677252	712800971	0.238782319755801
chr2H	712800971	713108233	0.194827202661814
chr2H	713108233	713705600	0.10256542401817
chr2H	713705600	714692537	0.238285440010065
chr2H	714692537	716727690	0.497173950756074
chr2H	716727690	716820240	0.781105616084967
chr2H	716820240	717281363	0.854990597653186
chr2H	717281363	717373184	0.928778297700429
chr2H	717373184	717873118	1.00774513781707
chr2H	717873118	718210885	1.11953228103099
chr2H	718210885	718210885	1.16460565208096
chr2H	718210885	718628790	1.22037305129
chr2H	718628790	718880739	1.06278005273777
chr2H	718880739	718882008	1.00320679661419
chr2H	718882008	718962785	0.983904269258654
chr2H	718962785	718986428	0.959337929565491
chr2H	718986428	720339994	0.63532927104718
chr2H	720339994	720345060	0.315691124810806
chr2H	720345060	720349512	0.313451875421804
chr2H	720349512	720580161	0.258140909819406
chr2H	720580161	722327295	0.180127499724402
chr2H	722327295	722462781	0.1058677826002
chr2H	722462781	722463054	0.10051278534262
chr2H	722463054	723105312	0.0751682281279243
chr2H	723105312	723245814	0.0442923550488427
chr2H	723245814	723372150	0.0337669625649703
chr2H	723372150	723653266	0.0593990208380037
chr2H	723653266	725655512	0.203041137804984
chr2H	725655512	725777855	0.336695136445918
chr2H	725777855	727211279	0.298604031026483
chr2H	727211279	727570263	0.254719052053
chr2H	727570263	727956633	0.236469945478046
chr2H	727956633	728830847	0.205606044884928
chr2H	728830847	731304969	0.480474878175537
chr2H	731304969	732544321	1.25312369275628
chr2H	732544321	732688792	1.54105063139637
chr2H	732688792	732698131	1.57305330979688
chr2H	732698131	733665592	1.41553042201316
chr2H	733665592	733690794	1.25544939994514
chr2H	733690794	735228887	1.00334585484088
chr2H	735228887	735736634	0.673425067838998
chr2H	735736634	737024225	0.528722113154745
chr2H	737024225	737299685	0.402741324009649
chr2H	737299685	737639609	0.353141815134209
chr2H	737639609	737661735	0.323960844897165
chr2H	737661735	737969091	0.297404832093293
chr2H	737969091	738497441	0.230047528094069
chr2H	738497441	738841667	0.279928409514779
chr2H	738841667	739142893	0.316825728114833
chr2H	739142893	740894662	0.434185362292613
chr2H	740894662	741603765	0.24975544881435
chr2H	741603765	742025697	0.164990094423351
chr2H	742025697	742092700	0.128346888378301
chr2H	742092700	742203860	0.114994472374938
chr2H	742203860	742246932	0.103435563819117
chr2H	742246932	742283917	0.0974356964618026
chr2H	742283917	742811663	0.0551119634645184
chr2H	742811663	743019283	0
chr2H	743019283	743219980	0.0215248174551815
chr2H	743219980	743356402	0.0392963648942383
chr2H	743356402	744274485	0.0948855949056661
chr2H	744274485	744819957	0.172038283161649
chr2H	744819957	745120342	0.216628436200066
chr2H	745120342	745335865	0.243825015141594
chr2H	745335865	747547956	0.338292104267741
chr2H	747547956	748462204	0.459949066598469
chr2H	748462204	749741789	0.411487237061175
chr2H	749741789	750284681	0.371228671477723
chr2H	750284681	750535067	0.35370513928011
