dSNP_Count Transcript
5 HORVU6Hr1G074570.6
5 HORVU6Hr1G079590.2
5 HORVU6Hr1G081350.5
5 HORVU6Hr1G087410.2
5 HORVU6Hr1G092750.1
5 HORVU7Hr1G002450.1
5 HORVU7Hr1G029280.1
5 HORVU7Hr1G040110.1
5 HORVU7Hr1G079830.12
5 HORVU7Hr1G090710.9
4 HORVU0Hr1G010020.1
4 HORVU0Hr1G021810.2
4 HORVU1Hr1G005720.7
4 HORVU1Hr1G012690.2
4 HORVU1Hr1G036930.1
4 HORVU1Hr1G065910.1
4 HORVU1Hr1G076190.4
4 HORVU1Hr1G077070.1
4 HORVU1Hr1G084880.1
4 HORVU1Hr1G092260.1
4 HORVU1Hr1G093390.2
4 HORVU2Hr1G000610.1
4 HORVU2Hr1G003750.1
4 HORVU2Hr1G020450.1
4 HORVU2Hr1G021300.1
4 HORVU2Hr1G022720.4
4 HORVU2Hr1G023110.1
4 HORVU2Hr1G031640.2
4 HORVU2Hr1G085580.2
4 HORVU2Hr1G087140.4
4 HORVU2Hr1G095880.3
4 HORVU2Hr1G103220.3
4 HORVU2Hr1G108060.1
4 HORVU2Hr1G124540.2
4 HORVU3Hr1G001920.2
4 HORVU3Hr1G019570.3
4 HORVU3Hr1G020770.1
4 HORVU3Hr1G033250.1
4 HORVU3Hr1G054660.1
4 HORVU3Hr1G062760.1
4 HORVU3Hr1G068880.1
4 HORVU3Hr1G078460.1
4 HORVU3Hr1G082930.2
4 HORVU3Hr1G088630.16
4 HORVU3Hr1G092470.1
4 HORVU3Hr1G107590.1
4 HORVU3Hr1G113850.2
4 HORVU4Hr1G003090.2
4 HORVU4Hr1G017090.1
4 HORVU4Hr1G058470.1
4 HORVU4Hr1G059620.1
4 HORVU4Hr1G067740.27
4 HORVU4Hr1G071310.2
4 HORVU4Hr1G072900.8
4 HORVU4Hr1G079100.5
4 HORVU4Hr1G087990.6
4 HORVU5Hr1G001090.3
4 HORVU5Hr1G007870.1
4 HORVU5Hr1G096630.2
4 HORVU5Hr1G105970.3
4 HORVU5Hr1G122490.1
4 HORVU6Hr1G010140.1
4 HORVU6Hr1G010730.1
4 HORVU6Hr1G028140.7
4 HORVU6Hr1G029080.1
4 HORVU6Hr1G055750.6
4 HORVU6Hr1G062440.1
4 HORVU6Hr1G066980.1
4 HORVU6Hr1G071830.1
4 HORVU6Hr1G071890.3
4 HORVU6Hr1G074820.1
4 HORVU6Hr1G078400.2
4 HORVU6Hr1G088400.16
4 HORVU7Hr1G001290.1
4 HORVU7Hr1G021530.12
4 HORVU7Hr1G033030.1
4 HORVU7Hr1G041610.1
4 HORVU7Hr1G043680.2
4 HORVU7Hr1G050230.1
4 HORVU7Hr1G052730.1
4 HORVU7Hr1G060240.1
4 HORVU7Hr1G087770.1
4 HORVU7Hr1G096140.1
4 HORVU7Hr1G097010.5
4 HORVU7Hr1G101710.1
4 HORVU7Hr1G106880.1
4 HORVU7Hr1G107720.5
4 HORVU7Hr1G114140.1
4 HORVU7Hr1G114250.2
4 HORVU7Hr1G117370.2
4 HORVU7Hr1G119720.1
4 HORVU7Hr1G122370.1
3 HORVU0Hr1G007620.4
3 HORVU0Hr1G017690.2
3 HORVU0Hr1G022160.3
3 HORVU1Hr1G000860.7
3 HORVU1Hr1G001460.7
3 HORVU1Hr1G002990.1
3 HORVU1Hr1G003140.5
3 HORVU1Hr1G003890.1
3 HORVU1Hr1G007310.1
3 HORVU1Hr1G008440.2
3 HORVU1Hr1G010380.2
3 HORVU1Hr1G021800.2
3 HORVU1Hr1G024000.2
3 HORVU1Hr1G036640.15
3 HORVU1Hr1G040970.1
3 HORVU1Hr1G045060.3
3 HORVU1Hr1G046730.1
3 HORVU1Hr1G048510.4
3 HORVU1Hr1G048580.3
3 HORVU1Hr1G078410.3
3 HORVU1Hr1G084420.1
3 HORVU1Hr1G084930.1
3 HORVU1Hr1G088570.1
3 HORVU1Hr1G090980.2
3 HORVU1Hr1G092350.2
3 HORVU1Hr1G093720.5
3 HORVU2Hr1G005980.1
3 HORVU2Hr1G009600.1
3 HORVU2Hr1G015200.2
3 HORVU2Hr1G018410.1
3 HORVU2Hr1G020000.27
3 HORVU2Hr1G024610.13
3 HORVU2Hr1G025430.3
3 HORVU2Hr1G027470.4
3 HORVU2Hr1G027880.1
3 HORVU2Hr1G028940.14
3 HORVU2Hr1G028990.1
3 HORVU2Hr1G036080.12
3 HORVU2Hr1G036130.3
3 HORVU2Hr1G036950.1
3 HORVU2Hr1G061870.10
3 HORVU2Hr1G063980.1
3 HORVU2Hr1G064920.1
3 HORVU2Hr1G065750.1
3 HORVU2Hr1G075220.2
3 HORVU2Hr1G085770.1
3 HORVU2Hr1G086730.4
3 HORVU2Hr1G087230.1
3 HORVU2Hr1G087820.3
3 HORVU2Hr1G104360.2
3 HORVU2Hr1G105970.1
3 HORVU2Hr1G107560.6
3 HORVU2Hr1G118500.1
3 HORVU2Hr1G119570.1
3 HORVU2Hr1G119710.1
3 HORVU2Hr1G121080.24
3 HORVU2Hr1G122020.5
3 HORVU2Hr1G123320.1
3 HORVU2Hr1G126130.2
3 HORVU2Hr1G126980.1
3 HORVU3Hr1G007410.2
3 HORVU3Hr1G011110.22
3 HORVU3Hr1G014890.2
3 HORVU3Hr1G018390.2
3 HORVU3Hr1G019230.7
3 HORVU3Hr1G020260.2
3 HORVU3Hr1G026750.1
3 HORVU3Hr1G029060.18
3 HORVU3Hr1G031880.1
3 HORVU3Hr1G040790.1
3 HORVU3Hr1G056770.1
3 HORVU3Hr1G068460.1
3 HORVU3Hr1G089710.1
3 HORVU3Hr1G097030.1
3 HORVU3Hr1G098900.2
3 HORVU3Hr1G101230.2
3 HORVU3Hr1G101730.1
3 HORVU3Hr1G104570.2
3 HORVU3Hr1G105070.7
3 HORVU3Hr1G106210.5
3 HORVU3Hr1G107030.1
3 HORVU3Hr1G108720.3
3 HORVU3Hr1G111160.5
3 HORVU3Hr1G113420.1
3 HORVU3Hr1G114200.1
3 HORVU4Hr1G005800.1
3 HORVU4Hr1G006840.25
3 HORVU4Hr1G014100.3
3 HORVU4Hr1G015730.2
3 HORVU4Hr1G029640.2
3 HORVU4Hr1G032410.1
3 HORVU4Hr1G052270.4
3 HORVU4Hr1G054910.1
3 HORVU4Hr1G077280.1
3 HORVU4Hr1G078890.1
3 HORVU4Hr1G080660.1
3 HORVU4Hr1G082620.8
3 HORVU4Hr1G084110.1
3 HORVU4Hr1G088660.1
3 HORVU5Hr1G005170.4
3 HORVU5Hr1G007080.4
3 HORVU5Hr1G022260.1
3 HORVU5Hr1G028780.1
3 HORVU5Hr1G037160.3
3 HORVU5Hr1G045010.1
3 HORVU5Hr1G046350.2
3 HORVU5Hr1G051100.8
3 HORVU5Hr1G052770.1
3 HORVU5Hr1G059910.1
3 HORVU5Hr1G070740.7
3 HORVU5Hr1G071610.1
3 HORVU5Hr1G072400.1
3 HORVU5Hr1G076700.2
3 HORVU5Hr1G079690.2
3 HORVU5Hr1G082440.1
3 HORVU5Hr1G083350.1
3 HORVU5Hr1G084220.1
3 HORVU5Hr1G087780.4
3 HORVU5Hr1G093140.15
3 HORVU5Hr1G095190.1
3 HORVU5Hr1G096370.1
3 HORVU5Hr1G098630.4
3 HORVU5Hr1G098710.1
3 HORVU5Hr1G106210.1
3 HORVU5Hr1G113760.2
3 HORVU5Hr1G118600.1
3 HORVU5Hr1G119680.2
3 HORVU5Hr1G121540.1
3 HORVU5Hr1G123470.1
3 HORVU5Hr1G124890.1
3 HORVU5Hr1G125350.1
3 HORVU6Hr1G000380.1
3 HORVU6Hr1G001680.1
3 HORVU6Hr1G001760.2
3 HORVU6Hr1G010680.1
3 HORVU6Hr1G013910.1
3 HORVU6Hr1G020600.1
3 HORVU6Hr1G020950.1
3 HORVU6Hr1G021030.3
3 HORVU6Hr1G025270.1
3 HORVU6Hr1G034270.1
3 HORVU6Hr1G038880.1
3 HORVU6Hr1G042000.1
3 HORVU6Hr1G049080.5
3 HORVU6Hr1G052190.1
3 HORVU6Hr1G054760.2
3 HORVU6Hr1G069010.5
3 HORVU6Hr1G069940.3
3 HORVU6Hr1G069980.1
3 HORVU6Hr1G070170.1
3 HORVU6Hr1G077720.1
3 HORVU6Hr1G089620.1
3 HORVU6Hr1G089750.1
3 HORVU6Hr1G092320.4
3 HORVU7Hr1G001540.14
3 HORVU7Hr1G002350.7
3 HORVU7Hr1G018330.2
3 HORVU7Hr1G018390.1
3 HORVU7Hr1G022470.1
3 HORVU7Hr1G028910.3
3 HORVU7Hr1G037130.2
3 HORVU7Hr1G037870.1
3 HORVU7Hr1G038870.1
3 HORVU7Hr1G043560.1
3 HORVU7Hr1G043610.1
3 HORVU7Hr1G049380.2
3 HORVU7Hr1G064800.1
3 HORVU7Hr1G067770.2
3 HORVU7Hr1G068460.2
3 HORVU7Hr1G074530.9
3 HORVU7Hr1G083050.1
3 HORVU7Hr1G085250.2
3 HORVU7Hr1G091560.1
3 HORVU7Hr1G095500.1
3 HORVU7Hr1G096290.1
3 HORVU7Hr1G106060.1
3 HORVU7Hr1G111470.1
3 HORVU7Hr1G113510.1
3 HORVU7Hr1G115260.1
3 HORVU7Hr1G120020.16
3 HORVU7Hr1G120050.4
3 HORVU7Hr1G121690.1
3 HORVU7Hr1G122200.3
2 HORVU0Hr1G000930.1
2 HORVU0Hr1G007830.4
2 HORVU0Hr1G014510.1
2 HORVU0Hr1G019670.1
2 HORVU0Hr1G031140.1
2 HORVU0Hr1G040290.1
2 HORVU1Hr1G000940.3
2 HORVU1Hr1G001200.1
2 HORVU1Hr1G001630.1
2 HORVU1Hr1G001810.2
2 HORVU1Hr1G002890.1
2 HORVU1Hr1G008670.1
2 HORVU1Hr1G009160.1
2 HORVU1Hr1G011930.1
2 HORVU1Hr1G016730.1
2 HORVU1Hr1G017970.4
2 HORVU1Hr1G018200.1
2 HORVU1Hr1G020010.2
2 HORVU1Hr1G021900.2
2 HORVU1Hr1G022780.3
2 HORVU1Hr1G024220.1
2 HORVU1Hr1G035160.1
2 HORVU1Hr1G035390.1
2 HORVU1Hr1G037750.1
2 HORVU1Hr1G041830.1
2 HORVU1Hr1G048890.3
2 HORVU1Hr1G050510.2
2 HORVU1Hr1G053770.14
2 HORVU1Hr1G054080.27
2 HORVU1Hr1G054290.1
2 HORVU1Hr1G055640.1
2 HORVU1Hr1G061230.3
2 HORVU1Hr1G061530.1
2 HORVU1Hr1G061580.4
2 HORVU1Hr1G062030.1
2 HORVU1Hr1G065140.2
2 HORVU1Hr1G072120.1
2 HORVU1Hr1G072210.1
2 HORVU1Hr1G072220.4
2 HORVU1Hr1G072410.14
2 HORVU1Hr1G074660.4
2 HORVU1Hr1G075050.2
2 HORVU1Hr1G076950.1
2 HORVU1Hr1G078290.4
2 HORVU1Hr1G078340.3
2 HORVU1Hr1G079420.3
2 HORVU1Hr1G080000.3
2 HORVU1Hr1G080950.5
2 HORVU1Hr1G081500.3
2 HORVU1Hr1G082710.1
2 HORVU1Hr1G088450.1
2 HORVU1Hr1G088680.4
2 HORVU1Hr1G089690.6
2 HORVU1Hr1G090330.16
2 HORVU1Hr1G091730.19
2 HORVU1Hr1G092590.2
2 HORVU1Hr1G093230.1
2 HORVU1Hr1G093950.2
2 HORVU1Hr1G094270.1
2 HORVU2Hr1G000580.5
2 HORVU2Hr1G000840.2
2 HORVU2Hr1G001130.2
2 HORVU2Hr1G001900.5
2 HORVU2Hr1G002020.1
2 HORVU2Hr1G002040.2
2 HORVU2Hr1G003850.1
2 HORVU2Hr1G003920.1
2 HORVU2Hr1G004070.4
2 HORVU2Hr1G004620.7
2 HORVU2Hr1G008960.2
2 HORVU2Hr1G015110.1
2 HORVU2Hr1G015700.3
2 HORVU2Hr1G020900.5
2 HORVU2Hr1G021650.2
2 HORVU2Hr1G023940.2
2 HORVU2Hr1G024150.1
2 HORVU2Hr1G024270.1
2 HORVU2Hr1G024520.2
2 HORVU2Hr1G024900.5
2 HORVU2Hr1G027540.1
2 HORVU2Hr1G027610.1
2 HORVU2Hr1G028740.1
2 HORVU2Hr1G030810.1
2 HORVU2Hr1G031180.22
2 HORVU2Hr1G031210.2
2 HORVU2Hr1G031380.1
2 HORVU2Hr1G036220.1
2 HORVU2Hr1G036440.8
2 HORVU2Hr1G038160.6
2 HORVU2Hr1G040900.1
2 HORVU2Hr1G041930.1
2 HORVU2Hr1G045580.8
2 HORVU2Hr1G047980.1
2 HORVU2Hr1G048590.3
2 HORVU2Hr1G055610.2
2 HORVU2Hr1G062550.1
2 HORVU2Hr1G067170.1
2 HORVU2Hr1G068660.2
2 HORVU2Hr1G070850.2
2 HORVU2Hr1G071260.1
2 HORVU2Hr1G071410.1
2 HORVU2Hr1G072460.1
2 HORVU2Hr1G073450.7
2 HORVU2Hr1G078800.1
2 HORVU2Hr1G080130.1
2 HORVU2Hr1G085260.5
2 HORVU2Hr1G085340.2
2 HORVU2Hr1G087170.1
2 HORVU2Hr1G087740.1
2 HORVU2Hr1G097090.1
2 HORVU2Hr1G101460.2
2 HORVU2Hr1G102890.2
2 HORVU2Hr1G103910.1
2 HORVU2Hr1G106660.1
2 HORVU2Hr1G107360.1
2 HORVU2Hr1G107630.3
2 HORVU2Hr1G109840.11
2 HORVU2Hr1G112000.1
2 HORVU2Hr1G112090.3
2 HORVU2Hr1G113100.2
2 HORVU2Hr1G114010.2
2 HORVU2Hr1G114100.1
2 HORVU2Hr1G114190.1
2 HORVU2Hr1G114210.1
2 HORVU2Hr1G117640.1
2 HORVU2Hr1G118390.76
2 HORVU2Hr1G119240.1
2 HORVU2Hr1G124700.1
2 HORVU2Hr1G125740.1
2 HORVU2Hr1G126540.1
2 HORVU2Hr1G127140.4
2 HORVU2Hr1G127490.4
2 HORVU2Hr1G127590.8
2 HORVU3Hr1G002570.3
2 HORVU3Hr1G004440.11
2 HORVU3Hr1G005570.1
2 HORVU3Hr1G007680.36
2 HORVU3Hr1G007720.5
2 HORVU3Hr1G007740.1
2 HORVU3Hr1G011160.1
2 HORVU3Hr1G014880.1
2 HORVU3Hr1G015730.1
2 HORVU3Hr1G017430.1
2 HORVU3Hr1G020270.1
2 HORVU3Hr1G021310.1
2 HORVU3Hr1G022880.1
2 HORVU3Hr1G027260.1
2 HORVU3Hr1G027790.3
2 HORVU3Hr1G033350.1
2 HORVU3Hr1G033570.2
2 HORVU3Hr1G033580.1
2 HORVU3Hr1G034560.3
2 HORVU3Hr1G035410.1
2 HORVU3Hr1G036130.2
2 HORVU3Hr1G037570.1
2 HORVU3Hr1G047030.6
2 HORVU3Hr1G049220.1
2 HORVU3Hr1G058350.35
2 HORVU3Hr1G060630.1
2 HORVU3Hr1G061190.1
2 HORVU3Hr1G061650.1
2 HORVU3Hr1G064300.2
2 HORVU3Hr1G065610.1
2 HORVU3Hr1G067790.2
2 HORVU3Hr1G069130.1
2 HORVU3Hr1G069970.5
2 HORVU3Hr1G078490.3
2 HORVU3Hr1G080240.1
2 HORVU3Hr1G080670.1
2 HORVU3Hr1G083310.1
2 HORVU3Hr1G084350.4
2 HORVU3Hr1G084800.5
2 HORVU3Hr1G086810.1
2 HORVU3Hr1G087050.1
2 HORVU3Hr1G090000.4
2 HORVU3Hr1G093320.4
2 HORVU3Hr1G095930.3
2 HORVU3Hr1G096270.1
2 HORVU3Hr1G096390.2
2 HORVU3Hr1G098920.1
2 HORVU3Hr1G098950.1
2 HORVU3Hr1G099160.1
2 HORVU3Hr1G100420.4
2 HORVU3Hr1G103630.10
2 HORVU3Hr1G104500.10
2 HORVU3Hr1G104770.5
2 HORVU3Hr1G106440.1
2 HORVU3Hr1G107420.10
2 HORVU3Hr1G109530.1
2 HORVU3Hr1G109730.1
2 HORVU3Hr1G110310.1
2 HORVU3Hr1G112110.1
2 HORVU3Hr1G112740.3
2 HORVU3Hr1G112920.2
2 HORVU3Hr1G113780.3
2 HORVU3Hr1G113940.1
2 HORVU3Hr1G115000.6
2 HORVU3Hr1G116360.7
2 HORVU4Hr1G000280.27
2 HORVU4Hr1G000290.4
2 HORVU4Hr1G000880.4
2 HORVU4Hr1G001700.2
2 HORVU4Hr1G002100.2
2 HORVU4Hr1G003270.1
2 HORVU4Hr1G003840.4
2 HORVU4Hr1G006960.1
2 HORVU4Hr1G010890.1
2 HORVU4Hr1G011180.1
2 HORVU4Hr1G012210.1
2 HORVU4Hr1G015180.3
2 HORVU4Hr1G018420.1
2 HORVU4Hr1G030830.1
2 HORVU4Hr1G031600.1
2 HORVU4Hr1G033960.1
2 HORVU4Hr1G034490.1
2 HORVU4Hr1G034860.3
2 HORVU4Hr1G035260.1
2 HORVU4Hr1G043950.16
2 HORVU4Hr1G053930.1
2 HORVU4Hr1G055250.1
2 HORVU4Hr1G055770.1
2 HORVU4Hr1G056530.1
2 HORVU4Hr1G057220.1
2 HORVU4Hr1G057520.4
2 HORVU4Hr1G059260.3
2 HORVU4Hr1G066290.8
2 HORVU4Hr1G067860.1
2 HORVU4Hr1G069310.3
2 HORVU4Hr1G071270.5
2 HORVU4Hr1G071830.1
2 HORVU4Hr1G072340.8
2 HORVU4Hr1G073580.2
2 HORVU4Hr1G074720.3
2 HORVU4Hr1G074960.12
2 HORVU4Hr1G075720.16
2 HORVU4Hr1G078490.1
2 HORVU4Hr1G081420.1
2 HORVU4Hr1G082390.1
2 HORVU4Hr1G085370.1
2 HORVU4Hr1G085690.4
2 HORVU4Hr1G086470.1
2 HORVU4Hr1G088740.1
2 HORVU4Hr1G088840.2
2 HORVU4Hr1G089200.2
2 HORVU4Hr1G089410.1
2 HORVU4Hr1G090330.1
2 HORVU4Hr1G090980.1
2 HORVU5Hr1G004870.7
2 HORVU5Hr1G005770.6
2 HORVU5Hr1G006830.1
2 HORVU5Hr1G006930.3
2 HORVU5Hr1G007360.1
2 HORVU5Hr1G007810.6
2 HORVU5Hr1G009400.2
2 HORVU5Hr1G009460.4
2 HORVU5Hr1G012450.1
2 HORVU5Hr1G013320.1
2 HORVU5Hr1G014950.1
2 HORVU5Hr1G018220.11
2 HORVU5Hr1G018740.1
2 HORVU5Hr1G020920.2
2 HORVU5Hr1G023890.1
2 HORVU5Hr1G023980.6
2 HORVU5Hr1G026290.2
2 HORVU5Hr1G027130.3
2 HORVU5Hr1G029670.1
2 HORVU5Hr1G029950.8
2 HORVU5Hr1G032760.1
2 HORVU5Hr1G033930.8
2 HORVU5Hr1G038790.5
2 HORVU5Hr1G041810.1
2 HORVU5Hr1G043780.1
2 HORVU5Hr1G046900.4
2 HORVU5Hr1G057400.1
2 HORVU5Hr1G067100.3
2 HORVU5Hr1G068920.1
2 HORVU5Hr1G070230.1
2 HORVU5Hr1G071510.10
2 HORVU5Hr1G072210.2
2 HORVU5Hr1G074040.2
2 HORVU5Hr1G080670.2
2 HORVU5Hr1G085040.1
2 HORVU5Hr1G085050.1
2 HORVU5Hr1G086120.21
2 HORVU5Hr1G088030.1
2 HORVU5Hr1G089160.1
2 HORVU5Hr1G090010.6
2 HORVU5Hr1G090670.2
2 HORVU5Hr1G094490.1
2 HORVU5Hr1G096280.1
2 HORVU5Hr1G097670.9
2 HORVU5Hr1G103410.1
2 HORVU5Hr1G104300.2
2 HORVU5Hr1G104980.56
2 HORVU5Hr1G106400.1
2 HORVU5Hr1G106740.1
2 HORVU5Hr1G109600.1
2 HORVU5Hr1G116960.1
2 HORVU5Hr1G117530.1
2 HORVU5Hr1G117590.2
2 HORVU5Hr1G118880.16
2 HORVU5Hr1G120090.1
2 HORVU5Hr1G120400.4
2 HORVU5Hr1G120740.15
2 HORVU5Hr1G120790.2
2 HORVU5Hr1G120920.9
2 HORVU5Hr1G121980.1
2 HORVU5Hr1G122020.1
2 HORVU5Hr1G122080.1
2 HORVU5Hr1G122460.1
2 HORVU5Hr1G123880.1
2 HORVU5Hr1G125150.6
2 HORVU5Hr1G125310.1
2 HORVU5Hr1G125550.1
2 HORVU6Hr1G001820.1
2 HORVU6Hr1G005690.3
2 HORVU6Hr1G008360.1
2 HORVU6Hr1G009090.7
2 HORVU6Hr1G010440.4
2 HORVU6Hr1G010870.1
2 HORVU6Hr1G011110.1
2 HORVU6Hr1G011260.19
2 HORVU6Hr1G012320.1
2 HORVU6Hr1G013750.2
2 HORVU6Hr1G013770.1
2 HORVU6Hr1G014360.2
2 HORVU6Hr1G015170.1
2 HORVU6Hr1G015410.3
2 HORVU6Hr1G015640.1
2 HORVU6Hr1G016380.1
2 HORVU6Hr1G016520.1
2 HORVU6Hr1G016850.1
2 HORVU6Hr1G016880.1
2 HORVU6Hr1G016970.1
2 HORVU6Hr1G018050.33
2 HORVU6Hr1G018800.1
2 HORVU6Hr1G020160.2
2 HORVU6Hr1G020750.2
2 HORVU6Hr1G020790.9
2 HORVU6Hr1G020800.2
2 HORVU6Hr1G021300.1
2 HORVU6Hr1G024540.1
2 HORVU6Hr1G025750.1
2 HORVU6Hr1G028740.3
2 HORVU6Hr1G030720.1
2 HORVU6Hr1G030880.1
2 HORVU6Hr1G031940.2
2 HORVU6Hr1G036010.9
2 HORVU6Hr1G043090.2
2 HORVU6Hr1G046490.1
2 HORVU6Hr1G053800.1
2 HORVU6Hr1G054420.7
2 HORVU6Hr1G060410.2
2 HORVU6Hr1G060870.3
2 HORVU6Hr1G062380.3
2 HORVU6Hr1G064040.3
2 HORVU6Hr1G064060.1
2 HORVU6Hr1G064130.1
2 HORVU6Hr1G064680.1
2 HORVU6Hr1G065110.1
2 HORVU6Hr1G069840.1
2 HORVU6Hr1G070050.1
2 HORVU6Hr1G073280.1
2 HORVU6Hr1G073400.1
2 HORVU6Hr1G076750.5
2 HORVU6Hr1G077570.1
2 HORVU6Hr1G081760.3
2 HORVU6Hr1G081800.20
2 HORVU6Hr1G082060.3
2 HORVU6Hr1G082320.4
2 HORVU6Hr1G091220.1
2 HORVU6Hr1G093470.1
2 HORVU7Hr1G000850.1
2 HORVU7Hr1G002290.4
2 HORVU7Hr1G003920.5
2 HORVU7Hr1G006910.1
2 HORVU7Hr1G009980.1
2 HORVU7Hr1G010190.1
2 HORVU7Hr1G011100.1
2 HORVU7Hr1G011830.9
2 HORVU7Hr1G013260.1
2 HORVU7Hr1G015690.1
2 HORVU7Hr1G020180.2
2 HORVU7Hr1G022080.1
2 HORVU7Hr1G022450.2
2 HORVU7Hr1G022940.20
2 HORVU7Hr1G023440.1
2 HORVU7Hr1G023920.2
2 HORVU7Hr1G025260.1
2 HORVU7Hr1G026320.1
2 HORVU7Hr1G028670.1
2 HORVU7Hr1G030160.4
2 HORVU7Hr1G030270.1
2 HORVU7Hr1G031210.83
2 HORVU7Hr1G031520.5
2 HORVU7Hr1G031720.3
2 HORVU7Hr1G036220.2
2 HORVU7Hr1G036940.1
2 HORVU7Hr1G037090.2
2 HORVU7Hr1G038790.1
2 HORVU7Hr1G046410.5
2 HORVU7Hr1G049720.5
2 HORVU7Hr1G052230.1
2 HORVU7Hr1G053120.2
2 HORVU7Hr1G054890.2
2 HORVU7Hr1G054910.1
2 HORVU7Hr1G059060.1
2 HORVU7Hr1G063980.1
2 HORVU7Hr1G066630.1
2 HORVU7Hr1G066750.5
2 HORVU7Hr1G069280.1
2 HORVU7Hr1G070400.1
2 HORVU7Hr1G071680.5
2 HORVU7Hr1G071840.2
2 HORVU7Hr1G084420.5
2 HORVU7Hr1G085770.1
2 HORVU7Hr1G085970.1
2 HORVU7Hr1G088400.1
2 HORVU7Hr1G088410.1
2 HORVU7Hr1G088420.1
2 HORVU7Hr1G088430.1
2 HORVU7Hr1G090140.1
2 HORVU7Hr1G094580.2
2 HORVU7Hr1G099100.1
2 HORVU7Hr1G100060.1
2 HORVU7Hr1G100170.2
2 HORVU7Hr1G100310.3
2 HORVU7Hr1G100360.4
2 HORVU7Hr1G101220.3
2 HORVU7Hr1G108510.2
2 HORVU7Hr1G110320.1
2 HORVU7Hr1G114000.2
2 HORVU7Hr1G114720.1
2 HORVU7Hr1G114740.1
2 HORVU7Hr1G115250.1
2 HORVU7Hr1G115370.2
2 HORVU7Hr1G115450.1
2 HORVU7Hr1G115750.1
2 HORVU7Hr1G116190.3
2 HORVU7Hr1G119700.3
2 HORVU7Hr1G121520.3
2 HORVU7Hr1G122800.1
1 HORVU0Hr1G001490.2
1 HORVU0Hr1G001770.1
1 HORVU0Hr1G002620.1
1 HORVU0Hr1G002680.2
1 HORVU0Hr1G004740.2
1 HORVU0Hr1G005640.1
1 HORVU0Hr1G005870.4
1 HORVU0Hr1G007420.5
1 HORVU0Hr1G007430.1
1 HORVU0Hr1G009070.1
1 HORVU0Hr1G010840.26
1 HORVU0Hr1G011430.1
1 HORVU0Hr1G012260.20
1 HORVU0Hr1G014170.2
1 HORVU0Hr1G014540.1
1 HORVU0Hr1G015600.1
1 HORVU0Hr1G016000.2
1 HORVU0Hr1G016940.3
1 HORVU0Hr1G017110.2
1 HORVU0Hr1G017160.1
1 HORVU0Hr1G017350.1
1 HORVU0Hr1G017680.1
1 HORVU0Hr1G019590.1
1 HORVU0Hr1G020400.1
1 HORVU0Hr1G020420.1
1 HORVU0Hr1G020460.1
1 HORVU0Hr1G020500.1
1 HORVU0Hr1G022510.9
