Phe,12_10636,12_30948,11_10030,11_10760,11_10075,11_20810,11_21217,11_20642,12_30742,11_10279,11_20657,11_10586,12_30277,12_31224,12_30155,11_10307,11_21338,12_30604,12_10485,11_20690,12_10650,11_20734,12_20489,11_10900,11_20182,12_31095,11_21220,11_10780,11_10109,11_20590,11_10551,12_10447,11_21250,11_11380,12_10181,11_20293,11_20159,11_20252,12_10571,11_20742,12_11154,11_21272,12_30921,12_30767,12_31458,12_30540,11_21397,12_30605,12_30755,11_11513,11_10467,11_10309,11_10523,11_20358,11_10588,11_20384,12_30117,11_20119,11_20454,11_21426,11_20845,11_20449,11_20134,12_30067,12_30400,11_11216,11_10869,12_30494,12_31292,11_10401,12_30382,11_21521,11_10669,11_20415,12_10554,11_10676,12_30361,11_10129,11_21281,11_10003,12_30144,11_11067,11_10270,11_20714,11_11349,11_20889,12_30940,11_11147,12_31235,11_21112,12_31350,12_30528,11_10534,11_20349,12_30199,11_10303,11_10143,11_21201,11_10078,12_31282,11_10454,11_21280,11_21223,12_30826,11_20170
NA,H,H,C,H,H,H,C,A,A,H,H,H,H,A,A,A,C,A,A,A,A,H,A,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,A,A,A,A,A,B,C,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,H,A,A,H,H,H,H,H,H,H,H,H,H,C,H,-
NA,H,A,C,A,A,H,B,H,H,A,H,A,A,A,H,A,C,A,H,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,A,-,H,H,B,H,B,H,H,H,H,H,H,B,B,B,B,B,B,A,B,B,B,B,H,A,B,C,A,A,A,A,A,H,A,A,H,H,C,A,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,B,B,H,H,H,H,C,H,-
NA,A,A,C,A,A,A,B,H,H,A,A,A,H,H,A,H,C,H,A,A,A,A,A,A,A,A,H,H,H,H,C,H,H,H,H,H,H,H,H,B,A,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,A,B,B,B,B,A,H,B,C,H,H,B,H,H,A,A,H,A,A,C,H,H,H,H,H,H,A,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,-
NA,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,H,H,A,A,H,H,H,H,H,H,H,A,H,C,H,H,H,H,H,A,A,A,A,H,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,H,H,A,H,B,C,H,H,H,B,B,H,A,B,H,H,C,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B
NA,B,B,B,B,B,B,B,B,B,B,B,B,H,A,H,A,C,A,H,A,C,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,-,C,A,A,A,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,A,A,A,A,A,A,B,B,B,B,B,B,B
NA,H,H,C,H,H,H,B,H,H,H,H,H,B,B,H,B,C,H,B,B,A,A,H,A,H,H,B,B,B,H,C,H,H,H,B,H,H,H,H,H,H,-,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,H,B,A,A,A,H,H,B,C,H,H,-,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,H,H,H,H,H,H,A,A,A,A,C,A,A
NA,B,B,B,B,B,B,B,H,H,H,B,B,A,B,B,B,C,B,B,B,C,H,B,H,B,B,B,B,B,H,C,H,H,H,-,H,H,H,H,H,B,-,H,H,A,H,A,B,H,H,H,H,H,A,A,A,A,A,A,H,B,A,A,A,H,H,B,C,B,B,B,H,H,H,A,H,H,H,C,H,H,H,A,H,H,A,H,H,A,A,H,H,B,B,B,B,B,B,H,H,H,H,C,H,H
NA,B,B,B,H,H,B,B,B,B,B,B,B,H,H,H,H,C,H,A,A,A,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,C,B,B,B,H,H,B,C,H,H,-,H,H,H,A,H,H,H,C,H,H,H,H,H,H,A,H,H,-,B,B,B,H,H,H,H,H,H,H,H,H,H,C,H,-
NA,B,B,B,B,B,B,B,A,A,H,B,B,H,A,H,A,C,A,H,A,A,H,H,-,H,H,A,A,A,H,C,H,H,H,-,H,H,H,H,H,H,-,H,H,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,H,C,A,A,A,H,B,B,B,B,B,B,A,A,H,A,A,H,A,C,A,A,A,B,A,H,A,H,H,-,H,A,A,A,A,A,A,A,A,H,H,H,H,C,H,H
NA,B,B,B,B,B,B,B,H,H,H,H,B,H,H,B,H,C,H,H,A,C,B,B,B,B,B,H,H,H,H,C,H,H,H,B,H,H,A,A,A,B,A,A,A,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,H,A,H,B,C,H,H,H,A,A,H,A,A,H,H,C,A,A,A,A,A,A,A,A,A,A,H,B,B,A,A,A,A,A,A,B,B,B,B,B,B,B
NA,H,B,B,B,B,H,B,A,A,A,H,B,H,H,B,H,C,H,B,A,C,H,B,H,B,B,H,H,H,H,C,H,H,H,-,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,B,A,A,A,H,B,B,B,B,B,B,B,H,B,-,H,B,B,B,B,B,B,H,B,H,A,H,H,-,H,A,A,H,H,H,H,H,H,A,A,A,A,C,A,A
NA,A,A,C,A,A,A,B,H,H,H,A,A,H,A,H,A,C,A,H,A,C,A,H,A,H,H,A,A,A,A,A,B,B,B,B,B,H,H,H,H,A,-,H,H,A,H,A,B,H,H,H,H,H,A,A,A,H,A,A,H,B,H,H,H,H,B,B,B,B,B,B,H,H,H,A,H,H,H,C,H,H,H,B,H,H,A,H,H,B,H,H,H,A,A,A,A,A,A,H,H,H,H,C,H,H
NA,H,H,C,H,H,H,B,H,H,H,H,H,B,H,H,H,C,B,H,A,A,H,H,H,H,H,H,H,H,B,C,B,B,B,B,B,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,H,H,H,H,B,B,B,B,B,B,A,A,H,A,A,B,H,C,A,A,A,H,A,A,A,H,H,A,H,A,A,B,B,B,B,B,B,A,A,A,A,C,A,A
NA,H,A,C,A,A,H,B,H,H,H,H,A,B,H,A,H,C,H,A,A,A,A,A,A,A,A,A,A,A,H,C,H,H,H,B,H,H,H,H,H,A,-,H,H,A,H,A,A,H,H,H,H,H,A,A,A,A,C,A,B,B,H,H,H,H,H,B,B,B,B,B,B,B,H,-,B,H,H,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A
NA,H,H,C,H,H,H,B,H,H,B,H,H,A,B,A,B,C,B,H,A,A,H,A,H,A,A,B,B,B,B,C,B,B,B,B,B,H,A,A,A,H,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,C,A,A,B,A,A,A,H,H,B,C,B,B,B,A,H,A,A,H,H,A,C,A,A,A,H,A,H,-,H,H,-,H,B,B,A,A,A,A,A,A,B,B,H,H,C,H,-
NA,A,A,C,A,A,A,B,H,H,H,A,A,B,B,H,B,C,B,H,A,A,A,H,A,H,H,H,H,H,B,C,B,B,B,B,B,A,A,A,A,A,A,A,A,H,H,H,A,H,H,H,H,H,H,H,H,H,B,H,H,B,A,B,B,A,B,B,B,B,B,B,H,H,H,A,H,H,H,C,H,H,H,A,H,H,A,H,H,-,A,B,B,B,B,B,B,B,B,H,H,H,H,B,H,B
