Phe,11_10460,11_21174,12_30951,11_10030,11_10186,11_21048,11_10526,12_10506,11_20810,11_21217,11_20642,12_30742,11_20220,11_20021,12_10905,11_21038,11_10586,12_30155,11_21338,12_11272,12_10650,12_30900,11_21220,11_10780,11_10065,12_10181,11_20252,11_20595,12_30571,11_11391,12_30788,12_30055,12_31458,12_30540,11_21418,11_21397,11_10793,11_11513,11_10309,11_20358,11_10588,11_20119,11_20894,11_20533,11_10974,11_11048,11_20845,11_20903,11_20239,12_30067,12_30759,12_31375,11_20646,12_30566,11_11216,11_10869,11_10600,12_30494,12_10857,11_20415,12_10554,11_10136,11_10427,12_30361,11_10129,11_20936,11_21281,11_10003,11_10239,12_31126,12_30956,12_31450,11_21448,11_20092,11_21223
NA,A,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,C,A,A,C,A,H,H,H,A,A,B,B,B,B,A,H,A,H,B,A,B,B,H,B,A,H,H,H,H,H,H,H,A,A,A,A,A,A,B,A,A,A,H,A,A,A,H,H,H,A,H,A,H,H,A,A,A,A
NA,A,A,A,A,A,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,H,H,A,H,A,B,A,H,B,A,B,B,B,B,-,H,H,H,H,H,H,H,A,A,A,A,A,A,B,A,A,A,H,A,H,H,H,H,H,A,H,A,H,H,A,A,A,A
NA,A,A,B,B,H,H,B,H,H,H,H,H,H,H,H,B,B,C,A,A,C,A,B,B,B,A,A,H,H,H,H,A,H,A,B,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,H,A,H,B,A,H,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A
NA,A,B,A,A,B,A,A,H,A,A,H,H,A,A,A,A,A,A,A,A,C,A,B,B,B,A,A,B,B,B,B,A,H,A,H,H,A,H,H,H,H,A,H,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,H,A,H,H,H,H,A,A,A,A,H,H,A,A,A,A
NA,A,A,H,H,H,H,-,H,H,H,A,A,H,H,H,H,H,A,A,A,C,A,H,H,H,A,A,H,H,H,H,A,H,A,B,H,A,H,H,H,H,A,H,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,-,B,B,B,B,B,A,A,A,H,H,A,A,A,A
NA,-,A,H,H,A,B,A,B,H,-,-,-,H,H,H,H,H,A,A,-,C,C,A,A,H,-,-,B,B,H,H,-,B,-,B,B,-,B,B,B,B,-,A,A,A,A,-,-,A,-,A,H,H,H,H,H,-,-,-,H,A,H,H,H,H,H,-,H,-,B,B,-,-,-,-
NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,H,H,H,H,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,-,A,A,A,A,A,A,H,A,H,H,A,A,A,A
NA,A,H,H,H,H,B,A,B,H,H,H,H,H,H,H,H,H,C,C,A,C,A,B,B,B,A,A,H,H,H,H,A,H,A,B,H,A,H,H,H,H,A,H,B,B,B,B,B,B,A,H,H,H,H,H,B,A,H,A,H,A,H,H,H,H,H,A,H,A,B,B,A,A,A,A
NA,A,H,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,-,A,H,H,H,A,A,B,B,B,B,A,A,A,H,A,A,H,H,A,A,A,B,B,B,B,B,B,B,A,B,B,H,B,H,B,A,H,A,H,A,H,H,H,H,H,A,H,A,B,B,A,A,A,A
NA,A,H,H,H,A,H,A,H,H,H,A,A,H,H,H,H,H,A,A,A,-,A,A,A,A,A,A,H,A,H,H,A,H,A,H,H,A,B,H,H,H,A,B,H,H,H,H,H,H,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,A,A,A,H,A,B,B,A,A,A,A
NA,A,H,B,H,B,H,B,H,H,H,H,H,H,H,H,H,B,A,A,A,C,A,A,A,A,A,A,A,A,A,H,A,B,A,A,B,A,H,B,B,B,-,B,H,H,H,B,B,B,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,A,A,H,B,A,A,A,A
NA,A,H,A,A,H,B,A,B,A,A,H,H,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,H,H,B,B,A,H,A,H,H,A,H,H,H,H,A,A,A,A,A,A,A,A,A,H,H,B,B,B,B,A,H,A,A,-,A,A,A,A,A,A,A,A,H,H,A,A,A,A
NA,A,B,A,A,H,H,A,H,A,A,B,B,A,A,A,A,A,A,B,A,C,A,H,H,H,A,A,H,H,H,H,-,H,A,H,H,A,B,B,H,H,A,A,H,H,H,A,A,A,A,H,H,H,H,H,B,A,H,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,A,A
NA,A,H,A,A,A,H,A,H,A,A,B,B,A,A,A,A,A,A,A,A,C,A,H,H,H,A,A,H,H,H,H,A,B,A,H,B,A,B,B,B,B,-,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,B,A,A,-,A,A,A,A,A,A,A,A,B,B,A,A,A,A
NA,A,A,H,H,H,H,A,H,H,H,A,A,H,H,H,H,H,A,B,A,C,A,A,A,A,A,A,B,B,H,H,C,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,A,H,H,H,H,H,B,A,H,A,A,-,A,A,A,A,A,A,H,A,A,A,A,A,A,A
NA,A,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,C,B,A,-,A,H,H,H,A,A,H,H,H,H,A,B,A,B,B,A,B,B,B,B,-,H,B,B,B,B,B,B,A,H,A,A,A,A,B,A,H,A,B,A,B,B,B,B,H,A,H,A,B,B,A,A,A,A
