Phe,11_10030,11_21048,12_10506,11_21217,11_20642,12_30742,11_20657,12_30155,11_21338,12_10485,11_20690,12_10650,11_20734,12_20489,11_10900,11_20182,12_10181,11_20159,12_30767,12_30055,11_20119,11_20894,12_30979,11_20845,11_11290,11_10578,11_20449,12_30400,11_10869,11_10600,12_11450,12_30494,12_31352,11_10401,12_10857,11_21521,11_20415,12_31308,12_30361,11_21281,12_30751,12_30144,11_11067,11_20904,11_21112,12_30956,12_31350,11_20755,11_10025,12_30530,12_10218,12_10979,11_21491,12_30528,12_10959,12_30880,12_11477,11_20092,12_30164,12_31282,11_10454,11_21280
NA,C,B,B,C,B,B,H,A,-,A,A,-,A,A,A,A,A,B,H,B,A,A,A,C,H,H,H,A,B,B,B,C,A,A,A,H,H,H,H,C,H,H,H,H,H,H,A,H,A,H,H,H,H,A,C,A,A,A,A,A,A,A
NA,C,H,H,C,B,B,H,D,A,H,A,-,H,H,H,H,A,B,B,B,B,H,H,C,H,H,B,H,A,H,H,C,H,H,H,A,H,A,H,-,A,A,A,A,A,A,A,H,B,H,H,H,H,A,B,B,B,B,B,A,A,A
NA,C,H,H,C,A,A,H,D,A,H,A,-,H,H,H,H,A,B,H,A,B,H,H,C,H,H,H,H,B,H,A,-,A,A,A,H,H,H,H,C,H,H,H,H,H,H,A,H,H,H,H,H,H,A,C,B,H,H,A,A,A,A
NA,C,H,H,C,A,A,H,D,B,H,A,-,B,H,B,H,A,H,A,A,A,H,H,C,H,H,H,H,A,A,A,-,A,A,A,A,A,A,A,-,A,A,A,A,B,B,H,H,H,H,H,H,H,H,C,A,H,H,H,H,H,H
NA,C,A,A,C,A,A,H,-,A,B,B,-,H,H,H,H,A,B,B,B,B,H,H,C,A,A,H,H,-,H,H,C,H,H,H,B,B,B,H,B,B,B,B,B,A,A,H,H,H,H,H,H,H,H,C,B,H,B,B,B,B,B
NA,-,H,H,-,H,H,A,A,B,A,A,-,H,A,H,A,A,A,H,-,A,A,H,-,H,H,H,A,B,B,B,B,B,B,B,A,A,A,A,-,A,A,A,A,H,H,A,H,A,H,H,H,H,A,C,A,H,H,A,H,H,A
NA,C,H,H,C,B,B,H,-,-,H,A,-,H,B,H,B,A,H,H,B,B,H,H,C,H,H,H,H,-,H,H,C,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,B,H,H,H,H,H,-,B,H,A,A,A,A,A
NA,C,H,H,C,H,H,H,-,B,B,A,-,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,H,H,H,H,H,H,H,A,H,A,A,A,H,H,C,H,H,-,H,B,B,B
NA,C,A,A,C,A,A,H,-,A,H,A,-,H,B,H,B,A,H,H,B,A,H,H,B,H,H,B,H,B,B,H,C,H,H,H,B,H,H,H,C,H,H,H,H,B,B,H,B,A,B,B,B,B,H,B,B,A,A,A,H,H,H
NA,B,H,H,B,B,B,H,A,A,A,A,-,H,A,H,A,A,H,H,B,B,H,H,-,B,B,H,H,B,B,B,B,H,H,H,A,B,H,B,B,H,A,A,A,A,A,H,H,H,H,H,H,H,H,C,H,H,-,H,A,A,A
NA,-,A,A,-,H,H,A,D,B,H,A,-,B,H,B,H,A,H,H,B,A,B,H,C,H,H,B,H,H,A,A,-,A,A,A,H,H,H,H,C,H,H,H,H,B,B,H,A,A,A,A,A,A,H,-,A,A,-,H,A,A,A
NA,B,B,B,B,B,B,B,A,A,A,A,-,H,A,H,A,A,A,B,B,A,B,B,B,B,B,B,B,A,H,H,C,H,H,H,B,B,B,B,B,B,B,B,B,H,H,B,H,A,H,H,H,H,B,C,H,A,A,H,H,H,H
NA,B,H,H,C,H,H,H,-,A,B,B,-,H,B,H,B,A,A,H,-,A,B,A,B,A,A,A,B,A,H,H,C,H,H,H,H,B,H,B,B,H,H,H,H,A,A,H,H,H,H,H,H,H,A,C,H,H,-,H,B,B,B
NA,C,B,B,C,H,H,H,D,B,H,A,-,H,H,H,H,A,H,H,B,A,A,A,-,A,A,A,A,-,H,H,C,H,H,H,H,B,B,B,B,H,H,H,H,A,A,H,B,B,B,B,B,B,H,B,B,B,H,H,H,H,H
NA,B,H,H,B,H,H,B,D,-,H,A,-,A,H,A,H,A,A,B,B,B,A,H,-,H,H,B,H,-,B,B,B,B,B,B,H,A,H,H,-,H,H,H,H,A,A,B,H,A,H,H,H,H,B,C,H,A,A,H,H,H,H
NA,-,A,A,-,A,A,A,A,B,A,A,-,B,A,B,A,A,A,B,B,B,A,H,-,H,H,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,H,H,H,H,H,C,H,H,B,B,H,H,H
