Phe,12_31491,11_21038,11_10326,11_21377,11_20690,11_21220,11_20895,12_30396,11_20590,11_10551,12_10447,11_21250,11_11380,12_10181,11_20293,12_30102,11_20595,12_10571,12_30571,11_11086,11_10926,11_21272,12_21376,12_30921,12_30055,11_10208,12_30605,12_31536,12_30117,11_20119,12_30988,11_20974,12_30006,12_30976,11_20206,11_21202,12_31094,11_10974,11_21426,11_11048,11_10688,11_21480,11_20134,12_30067,11_10705,12_30929,12_30635,11_20646,11_20686,11_10869,12_30494,12_30577,11_21052,12_10554,11_10427,12_30361,11_10040,11_20714,11_20972,11_20355,11_10239,11_11243,11_21229,11_10078,11_10896,12_30826
NA,B,A,B,A,B,C,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,A,H,H,A,H,B,H,H,A,H,H,H,H,H,H,H,B,B,B,B,A,H,H,H,H,H,A,A,A,A,H,H,-,H,H,A,A,A,A,A,H,H,H,H,B
NA,H,A,H,A,A,C,B,H,H,H,H,H,H,A,H,H,H,A,H,H,H,A,H,H,A,A,A,A,A,-,A,A,A,A,H,A,A,A,A,A,A,A,H,H,H,A,A,A,A,A,A,A,A,A,B,B,B,B,H,H,H,A,A,A,H,H
NA,H,A,A,A,A,A,B,A,H,H,H,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H,-,A,A,H,A,H,B,A,B,B,B,B,A,B,B,B,A,A,H,H,A,H,B,B,A,H,H,H,B,H,A,A,H,H,H,H,B
NA,H,A,B,A,A,C,A,B,B,B,B,B,B,B,B,B,H,H,H,H,H,A,H,H,A,B,B,A,A,-,H,B,B,H,A,B,H,H,H,H,H,A,H,H,H,H,H,B,B,A,B,B,B,A,H,H,B,B,B,B,B,H,B,B,H,H
NA,H,A,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,B,H,H,A,A,H,H,A,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,A,H,H,H,-,A,A,H,H,H,H,H,B,H,H,H,H
NA,H,-,H,A,B,C,B,H,H,H,H,H,H,-,H,H,B,A,B,B,B,A,A,A,-,B,B,B,B,A,B,B,B,H,B,A,H,A,A,A,A,A,B,B,B,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,A,A,H,H,H
NA,B,A,B,A,A,C,H,B,B,B,B,B,B,B,B,B,H,B,H,H,H,-,B,B,A,B,B,A,H,-,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,-,H,H,H,H,H,H,H,H,B,B,B,B
NA,B,A,B,A,C,A,H,B,B,B,B,B,B,B,B,B,H,B,H,H,H,A,B,B,A,A,A,A,A,-,A,A,A,A,H,A,A,H,H,H,H,A,H,H,H,A,A,A,A,-,A,A,A,-,H,H,H,B,H,H,H,B,B,B,B,B
NA,H,A,B,A,B,C,B,B,B,B,B,B,B,B,B,B,A,H,H,A,A,A,B,B,A,H,H,H,A,-,A,H,H,A,H,A,A,B,B,B,H,A,H,H,H,A,A,A,A,A,A,A,A,-,B,B,B,B,B,B,B,H,H,A,H,H
NA,H,A,H,-,A,A,B,H,H,H,H,H,H,A,H,H,H,A,A,H,H,A,H,H,C,B,B,B,B,-,B,B,B,A,-,H,A,-,H,H,H,-,H,H,H,A,A,A,H,A,H,H,H,A,H,H,A,H,A,A,A,B,B,B,H,H
NA,H,A,H,A,A,C,H,H,H,H,H,H,H,-,H,H,B,A,B,B,B,A,A,A,A,H,H,H,H,A,H,H,H,B,B,A,B,A,A,A,H,A,B,B,B,B,B,B,B,A,B,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H
NA,H,A,H,A,A,A,H,H,H,H,H,H,H,A,H,H,A,H,A,A,A,A,H,H,A,B,B,H,B,A,B,B,B,H,H,B,H,H,H,H,H,A,H,H,H,H,H,B,B,A,B,B,B,-,H,H,A,A,A,H,H,B,B,H,H,H
NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,A,H,H,H,A,A,A,A,B,B,B,B,A,B,B,B,A,A,H,A,B,B,B,B,A,H,H,H,A,A,H,H,A,H,H,H,A,H,H,H,H,H,H,H,A,A,A,A,A
NA,H,A,H,A,A,A,H,H,H,H,H,H,H,A,H,B,H,B,H,H,H,A,B,B,A,H,H,B,B,-,B,H,H,H,B,B,H,B,B,B,B,A,B,B,B,H,H,H,H,A,H,B,B,-,B,B,H,H,H,H,H,H,H,H,H,H
NA,B,A,H,A,A,C,B,H,H,H,H,H,H,-,H,H,A,B,A,A,A,A,B,B,A,B,B,B,H,-,H,B,B,A,H,H,A,H,H,H,H,A,B,B,H,A,A,A,A,A,A,H,H,A,H,H,H,B,H,H,H,B,B,B,B,B
NA,B,A,H,A,A,A,A,H,H,H,H,H,H,A,H,A,H,A,H,H,H,A,H,H,A,H,B,H,H,-,H,H,B,B,B,A,B,H,H,H,H,A,B,B,B,B,B,H,H,A,H,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B
