Phe,12_10636,11_21174,12_30948,11_10030,11_10186,11_21048,11_10760,12_30043,12_10506,11_11484,11_10075,11_20810,11_21217,11_21038,11_11038,12_30277,12_31224,12_30155,11_11040,11_10307,11_21338,12_30604,11_20690,11_21220,11_10780,11_10109,11_20590,11_10551,12_10447,11_21250,11_11380,12_10181,11_20293,11_20252,12_10571,11_20742,11_20944,12_11154,11_21272,12_30921,11_10208,12_31458,11_20422,11_21418,12_10860,11_11405,12_30605,11_10467,11_20358,11_20384,12_30117,11_20119,12_31094,11_10974,11_11048,11_10688,11_20845,11_20903,11_20239,11_11355,11_21480,11_11350,11_10705,12_30929,12_30400,12_30759,11_20545,12_31375,11_11216,11_20686,12_11450,12_30382,11_10669,11_20415,11_10129,11_21281,11_10539,11_10003,11_20656,12_30144,11_11067,11_10270,11_20714,12_30956,12_31450,11_20245,11_20755,11_10025,12_30530,11_20192,12_10218,11_21491,12_10959,11_11014,12_30880,12_10605,12_11477,11_10534,11_20349,12_30199,11_10303,11_10143,11_21201,11_20092,12_30164
NA,A,B,A,B,A,A,A,B,A,A,A,A,A,A,B,B,H,H,H,H,B,H,B,-,H,H,H,H,H,H,H,H,H,A,A,H,B,B,H,H,B,B,B,B,A,B,A,H,B,B,B,B,A,A,B,A,A,A,A,H,B,B,B,A,B,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,B,H,A,H,A,A,H,B,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A
NA,H,A,H,H,A,H,H,A,H,A,H,H,H,H,A,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,H,A,B,A,H,B,B,H,A,H,B,A,B,B,B,-,B,B,A,B,B,B,B,B,A,A,A,B,A,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B
NA,B,B,B,A,B,H,B,B,H,B,B,B,B,B,B,B,B,A,A,A,A,B,-,B,B,B,B,-,B,B,B,B,B,B,B,B,H,B,A,B,H,A,A,B,B,H,B,A,A,A,A,A,H,H,H,B,B,B,B,B,H,H,H,H,A,H,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,H,A,H,H,H,H,H,H,H,A,H,H,B,B,B,B,B,A,B,B,A
NA,B,B,A,B,A,H,A,B,H,A,A,B,B,A,B,H,A,A,A,B,A,A,-,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,B,A,A,H,A,A,A,A,A,B,A,B,B,B,B,B,H,H,H,A,A,B,B,B,B,H,H,A,A,B,B,H,H,H,A,A,A,A,A,A,H,B,B,H,A,H,B,B,-,H,H,H,H,H,B,B,B,A,B,B,A
NA,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,H,H,H,B,H,A,H,H,B,H,B,B,B,-,B,B,A,B,B,B,B,B,A,A,H,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,A,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,-,B
NA,A,A,A,B,H,A,A,A,A,H,A,A,A,A,H,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,H,A,B,A,H,A,A,A,B,H,A,A,A,A,A,A,B,B,A,B,B,B,B,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B
NA,H,B,B,A,B,H,B,B,H,B,B,H,H,B,B,B,A,A,A,B,B,A,-,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,B,B,B,B,B,A,B,B,H,B,B,B,B,A,B,A,B,B,B,B,A,A,A,H,A,B,A,A,A,A,A,A,B,B,A,A,B,B,B,B,B,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,B,B,B,B,B,A,B,B,B
NA,B,B,B,A,B,B,A,B,B,B,A,B,B,B,B,B,B,H,H,A,A,B,-,-,B,B,A,A,A,A,A,A,A,H,H,H,B,B,H,H,H,A,A,A,B,H,A,A,A,A,A,A,B,B,A,B,B,B,B,H,A,A,A,B,H,B,A,A,A,A,A,H,B,A,A,B,B,B,B,B,B,B,B,H,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A
NA,H,B,H,H,B,B,H,B,B,B,H,H,H,H,H,H,H,H,B,H,B,B,B,H,H,H,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,A,A,H,B,A,B,B,B,B,B,H,H,B,H,A,H,H,H,H,H,H,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,A,B,B,H,A,A,A,A,A,A,A,A,B,A,A,B
NA,B,B,B,A,B,H,B,B,H,B,B,B,B,B,B,B,B,A,A,A,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,A,B,H,A,A,B,B,H,B,A,A,A,A,A,H,H,H,B,B,B,B,B,H,H,H,H,A,H,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,H,A,H,H,H,H,H,H,-,A,H,H,B,B,B,B,B,A,B,B,A
NA,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,H,B,H,-,H,H,H,B,B,B,B,B,B,B,A,A,A,B,H,B,A,B,B,B,B,A,B,A,B,B,B,B,-,B,B,A,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,H,H,H,H,H,H,H,H,H,B,H,B,B,H,B,H,B,B,B,H,B,B,B,B,B,B,B,B,A,B,B,A
NA,H,A,B,A,A,H,B,A,H,A,B,H,H,B,A,A,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,H,H,B,A,B,B,H,B,A,B,H,B,B,B,B,B,B,B,A,B,B,B,B,B,H,H,H,B,A,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,H,A,B,B,H,B,H,B,H,H,H,B,B,B,B,B,B,B,B,A,B,B,A
