Phe,11_10460,11_20712,12_11498,11_10552,11_10279,11_21038,11_10586,11_10722,12_31377,12_30277,11_20594,11_20840,12_31224,11_10326,12_30155,11_21265,11_10307,12_30604,12_30900,11_10214,12_31095,11_21220,11_10780,11_10109,12_30396,11_20159,12_30767,11_20605,11_11516,12_30055,12_31458,12_30540,12_31313,11_20114,11_11114,12_30755,11_11513,11_10467,11_10309,11_11004,11_10523,11_10724,11_20765,11_20384,12_30117,11_20119,11_20454,11_20894,11_10688,11_20845,11_20903,11_20239,11_21480,11_11290,11_10578,11_11350,11_20134,12_30067,11_20646,11_10600,12_30494,12_31292,12_10857,12_10554,11_10676,11_10539,11_20656,12_30144,11_11067,11_10270,11_20904,11_11349,11_20889,12_30940,11_11147,12_31235,11_21112,12_30956,12_11433,11_20245,12_10979,11_21491,12_10959,11_11014,11_10078,11_10454,11_21223,11_10896,11_20170
NA,H,B,B,A,B,A,A,H,H,H,H,H,H,H,B,B,H,H,B,B,B,H,H,H,H,A,A,A,A,A,A,A,H,H,A,B,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,H,H,H,H,H,B,A,B,B,H,B,B,-,B,B,B,B,B,B,B,B,B,B
NA,A,B,B,B,-,B,B,H,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,H,B,A,A,H,H,H,H,H,H,B,B,A,A,A,A,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,H,B,B,B,B,B,B,A,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B
NA,B,H,H,A,-,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,A,A,A,B,B,A,A,A,A,H,H,H,H,B,H,A,A,A,A,H,A,H,H,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,B
NA,H,A,A,B,-,B,B,H,H,H,H,H,B,B,A,B,A,B,B,B,B,B,B,H,H,H,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,-,H,B,H,H,H,-,B,B,B,B,B,B,H,B,B,B,B,H,H,H,H,H,H,B,H,H,H,H,H,H,B,B,-,A,H,A,A,A,B,B,B,B,B
NA,H,H,H,A,B,H,H,H,H,B,B,B,B,B,-,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,H,A,H,A,A,A,H,A,A,B,B,A,B,B,B,-,B,B,B,B,B,A,A,A,A,A
NA,A,B,B,B,B,B,B,B,B,A,A,A,B,B,A,H,A,B,H,H,A,B,B,B,B,A,A,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,H,B,B,B,B,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,A,H,B,A,B,B,B,H,H,B,B,B,B,B,B,A,A,A,A,A
NA,H,H,H,A,B,H,H,H,H,H,H,H,B,B,A,H,A,B,H,H,H,B,B,B,H,H,H,H,H,H,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,-,B,A,A,A,A,A,B,A,A,B,B,B,B,H,H,H,H,B,A,A,A,H,H,A,H,A,B,A,A,A,H,H,A,A,A,A,A,A,H,H,H,H,H
NA,A,H,H,B,-,H,H,B,B,B,B,B,B,B,-,B,A,B,B,B,H,B,B,B,B,A,A,A,A,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,A,A,H,A,A,A,A,A,B,A,A,A,A
NA,A,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,A,B,B,B,A,A,A,A,H,H,H,H,A,A,B,A,B,A,A,A,A,A,A,A,A,A,B,B,A,B,B,H,H,H,H,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,A,B,B,H,H,H,H,A,A,B,B,B,B,B,B,B,B,B,B,B
NA,A,B,B,B,B,B,B,B,B,H,H,H,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,H,B,H,B,A,A,H,B,H,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,A,A,H,H,H,H,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B
NA,A,H,H,B,H,H,H,B,B,B,B,B,A,A,-,H,B,A,H,H,H,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,B,B,B,A,A,A,A,A,A,H,H,A,A,A,A,A,B,B,B,B,A,B,A,B,A,A,A,B,B,A,A,A,A,A,A,A,H,H,H,H
NA,A,A,A,B,A,A,A,B,B,B,B,B,A,A,A,H,B,A,H,H,H,A,A,A,A,A,A,A,A,A,A,B,A,B,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,H,H,H,A,A,B,B,A,A,A,A,B,A,B,A,B,B,B,B,B,-,A,B,B,B,A,B,B,B,B,A
NA,B,B,B,A,B,B,B,A,A,A,A,A,H,H,A,H,H,H,A,H,A,B,B,B,H,A,A,A,A,B,B,B,A,B,H,A,A,A,A,A,A,A,A,B,B,-,B,A,B,B,A,A,H,H,H,H,A,A,A,A,A,A,A,B,H,A,A,H,H,H,H,H,H,H,H,H,A,A,B,H,B,B,-,H,H,H,H,H,H
NA,H,A,A,A,A,A,A,H,H,H,-,H,B,B,A,H,A,B,H,H,H,-,H,H,B,B,B,B,B,B,A,A,A,B,B,B,H,B,A,A,H,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,B,H,B,A,B,B,B,A,B,-,A,A,A,A,A,B,B,B,B,B
NA,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,H,B,A,B,A,A,A,A,A,A,A,A,H,H,H,-,H,B,B,B,B,B,A,H,H,A,H,H,A,B,B,A,A,H,H,H,H,B,B,B,B,H,H,B,B,B,A,B,A,A,A,A,A,H,A,B,B,B,B
NA,A,A,A,B,A,A,A,B,B,H,H,H,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,A,A,B,B,B,B,B,B,B,B,B,A,A,B,A,H,H,H,H,A,H,A,B,A,A,A,H,B,B,B,B,B,B,B,A,A,A,A,B
