Phe,11_10460,12_30951,11_10030,11_20712,11_10760,12_11498,12_10506,11_20810,11_21217,11_10279,12_10905,12_31377,12_30277,12_31224,11_11040,11_21265,11_10307,11_20864,11_21304,11_10525,12_30604,11_20690,12_20489,12_30900,11_20182,12_31095,11_10109,11_10065,11_20895,12_30396,11_20590,11_10551,11_21250,12_10181,11_20159,12_30920,11_20968,12_30571,12_30223,12_30084,12_10122,12_11154,12_21376,12_30921,12_30540,11_10221,11_20422,11_21418,11_20777,11_20012,12_30605,11_11244,11_10639,12_30755,11_11513,11_10309,11_11004,11_10523,11_10724,11_11213,11_20765,11_20974,12_30006,11_20226,12_30979,11_10688,11_20845,11_20903,11_20239,12_10079,11_11355,11_21480,11_11290,11_10578,11_10705,12_30400,12_30759,11_11216,12_11450,12_31352,12_31292,12_10857,11_21521,11_10669,11_20415,12_10554,11_10136,11_10676,11_10994,11_10129,11_21281,12_30144,11_11067,11_10270,11_21069,11_20904,11_20673,12_31126,11_11111,12_30956,11_21491,11_11014,12_31282,11_10454,11_20170
NA,H,H,A,B,H,B,B,B,B,-,B,H,H,H,A,B,H,A,B,B,H,-,B,B,B,B,A,A,B,H,H,H,H,B,A,A,H,H,A,B,A,A,H,H,B,H,H,B,H,A,B,B,A,A,A,A,A,A,A,A,A,H,B,B,B,B,B,B,B,B,H,H,B,B,H,B,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,A,B,B,B,H,B,H,H,A
NA,A,B,B,A,A,A,A,A,A,A,A,B,B,H,H,A,H,B,A,A,-,B,A,A,A,A,H,H,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,A,H,A,A,B,A,B,A,A,A,A,A,A,A,A,H,H,H,B,H,A,A,A,A,B,B,B,B,B,A,B,B,H,B,B,B,A,A,B,A,H,A,A,B,B,A,A,A,B,A,A,H,H,H,H,B,H,H,B
NA,H,H,H,A,H,A,A,H,H,A,H,H,H,B,A,B,A,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,B,A,B,B,B,B,A,B,B,A,A,B,B,B,B,B,A,B,B,A,A,H,H,H,H,H,H,H,B,B,H,B,B,B,B,B,A,B,H,B,B,A,A,H,H,B,H,H,A,H,H,H,H,H,H,B,H,H,H,H,H,A,H,H,B,B,B,A,A,A,A,A
NA,B,H,B,A,H,A,A,A,A,A,A,A,A,H,A,A,H,B,A,A,H,-,A,A,A,A,A,A,B,H,H,H,B,B,H,H,A,A,B,A,A,A,H,H,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,H,H,H,H,H,B,H,H,H,H,A,H,A,A,A,A,A,H,A,A,B,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B
NA,A,A,A,H,B,H,H,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,B,H,H,-,B,B,B,B,H,H,A,A,B,B,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,H,B,B,B,B,A,B,B,H,H,B,A,B,B,B,B,B,B,B,B,A,B,A,B,A,A,B,B,B,B,B,B,B,A,B,B,B,B,H,H,A
NA,B,A,H,B,B,B,B,H,H,B,H,A,A,A,B,H,B,H,H,H,A,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,A,B,A,A,A,A,A,B,B,H,B,B,A,H,B,B,B,B,B,B,B,B,B,H,H,B,A,A,A,A,A,B,A,H,A,A,H,B,B,B,B,B,B,B,A,H,A,B,A,H,A,A,A,A,A,H,B,A,H,H,H,H,H,H,H,H,A
NA,H,A,A,A,B,H,H,B,B,A,B,A,A,B,B,A,A,A,A,H,B,B,H,A,H,H,B,B,A,B,B,B,B,B,B,A,A,A,A,B,H,H,B,B,H,H,H,B,H,H,B,B,A,H,H,H,H,H,H,H,H,B,B,H,B,A,A,A,A,A,B,B,B,B,B,A,A,A,H,B,B,B,A,A,A,B,A,A,A,A,A,A,A,H,B,A,A,A,A,A,H,H,H,H,H
NA,A,A,A,B,B,B,B,B,B,B,B,B,H,B,H,B,A,B,B,H,B,B,H,B,H,H,B,B,B,B,B,A,A,A,H,A,A,A,A,B,B,B,H,H,B,A,A,H,A,A,A,A,H,A,A,A,A,A,A,A,A,H,H,H,B,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,A,A,H,H,B,A,B,H,H,A,A,A,A,A,A,B,B,B,B,B,B,B,A
NA,B,A,A,A,B,A,A,B,B,A,B,A,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,A,B,A,A,A,A,A,B,A,B,B,A,B,B,B,H,H,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,A,B,H,A,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,H,H,H
NA,B,B,B,A,A,A,A,A,A,A,A,A,A,H,B,A,H,B,A,H,H,B,H,A,H,H,A,H,B,H,B,B,B,B,H,B,B,B,B,A,H,H,B,B,A,B,B,B,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,A,B,B,B,B,A,A,A,A,A,H,B,B,B,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,B,A,B,H,H,H,B,H,H,H,A
NA,B,B,B,B,A,B,B,A,A,B,A,A,A,H,B,A,H,A,A,B,H,B,B,A,B,B,H,H,A,H,H,H,H,B,B,B,H,H,B,A,B,B,A,A,B,B,B,H,B,A,H,H,H,A,H,H,H,H,H,H,H,H,H,B,A,A,A,A,A,B,A,H,A,A,H,B,A,B,B,H,H,H,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,B,B,B,H,H,B,B,B
NA,B,A,A,H,B,H,H,B,B,H,B,A,A,B,A,A,A,B,A,A,B,-,A,A,A,A,H,H,B,B,B,B,B,B,B,A,H,H,A,B,B,B,B,B,B,A,H,A,A,A,A,B,A,A,H,H,H,H,H,H,H,A,A,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,B,B,B,B,A,A,A,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,B,H,H,A
NA,B,H,A,H,H,H,H,B,B,H,B,A,H,B,B,H,A,B,H,H,B,B,B,H,H,B,B,B,B,B,B,B,A,-,H,H,A,A,B,A,B,B,A,A,B,B,B,B,B,A,H,B,A,A,A,H,H,A,B,B,B,B,B,A,A,H,H,H,H,B,A,H,A,A,H,B,H,A,A,A,A,A,A,B,A,B,A,B,B,A,A,A,A,B,A,A,B,B,B,B,A,B,H,H,H
NA,B,B,B,A,A,A,A,A,A,A,A,B,B,B,B,H,A,A,H,H,B,B,H,H,H,H,B,B,B,B,B,A,A,A,H,A,A,A,A,B,H,H,A,A,A,A,A,A,A,B,H,A,B,B,B,B,B,B,B,B,B,A,A,B,B,A,A,A,A,H,B,A,B,B,A,A,A,B,B,B,H,B,B,A,A,B,A,A,A,A,A,B,B,A,B,B,A,H,B,B,H,B,H,H,H
NA,H,A,A,A,B,A,A,B,B,A,B,A,A,H,B,B,H,H,B,B,H,B,B,H,B,B,H,H,H,H,H,H,H,H,A,B,B,B,H,H,H,H,A,A,H,A,A,A,A,H,A,A,B,H,H,H,H,H,H,H,H,A,A,H,A,B,B,B,B,A,B,A,A,A,A,A,B,H,H,B,B,H,B,B,B,A,B,B,H,B,B,B,B,A,H,B,B,H,H,H,H,A,A,A,B
NA,A,A,A,H,B,H,H,B,B,H,B,B,B,A,A,A,B,B,A,A,H,-,A,A,A,A,A,A,B,H,H,A,A,A,A,B,B,B,H,H,H,H,H,H,H,A,A,B,A,H,B,A,B,H,H,H,A,H,A,A,A,B,B,A,B,B,B,B,B,H,B,A,B,B,A,A,A,A,A,A,A,A,H,H,H,H,H,H,A,H,H,H,H,H,B,H,H,B,B,B,B,B,B,B,B
